participant,condition,pretraining,age,native_lang,other_langs,prod_stem,prod_suffix,prod_condition,prod_resp
273582,3,0,"26
","English
","Italian phrases; from my mother; we use words/phrases while out or at home
",shinder,dim_pl,novel,"shinder
"
273582,3,0,"26
","English
","Italian phrases; from my mother; we use words/phrases while out or at home
",pil,dim_pl,novel,"pil
"
273582,3,0,"26
","English
","Italian phrases; from my mother; we use words/phrases while out or at home
",kora,dim_pl,familiar,"kora
"
273582,3,0,"26
","English
","Italian phrases; from my mother; we use words/phrases while out or at home
",shinti,dim_pl,novel,"shinti
"
273582,3,0,"26
","English
","Italian phrases; from my mother; we use words/phrases while out or at home
",berko,dim_pl,familiar,"berko
"
273582,3,0,"26
","English
","Italian phrases; from my mother; we use words/phrases while out or at home
",bal,dim_pl,familiar,"bal
"
393594,1,0,22 ,English,"Spanish, I learned it in school. I don't speak it often because my family doesn't undertstand it.",shinti,dim_pl,novel,shinti
393594,1,0,22 ,English,"Spanish, I learned it in school. I don't speak it often because my family doesn't undertstand it.",kora,dim_pl,familiar,kora
393594,1,0,22 ,English,"Spanish, I learned it in school. I don't speak it often because my family doesn't undertstand it.",bal,dim_pl,familiar,bal
393594,1,0,22 ,English,"Spanish, I learned it in school. I don't speak it often because my family doesn't undertstand it.",pil,dim_pl,novel,pil
393594,1,0,22 ,English,"Spanish, I learned it in school. I don't speak it often because my family doesn't undertstand it.",shinder,dim_pl,novel,shinder
393594,1,0,22 ,English,"Spanish, I learned it in school. I don't speak it often because my family doesn't undertstand it.",berko,dim_pl,familiar,berko
119653,4,1,18,english,NA,pil,dim_pl,novel,pilnemdan
119653,4,1,18,english,NA,shinder,dim_pl,novel,shindernemsil
119653,4,1,18,english,NA,shinti,dim_pl,novel,shintinemsil
119653,4,1,18,english,NA,kora,dim_pl,familiar,koranemsil
119653,4,1,18,english,NA,bal,dim_pl,familiar,balshoondan
119653,4,1,18,english,NA,berko,dim_pl,familiar,berkoshoondan
042064,1,0,35,English,I also know how to speak Korean. My parents are Korean so I'd speak with them in Korean until I started going to school.,kora,dim_pl,familiar,korad
042064,1,0,35,English,I also know how to speak Korean. My parents are Korean so I'd speak with them in Korean until I started going to school.,bal,dim_pl,familiar,balnem
042064,1,0,35,English,I also know how to speak Korean. My parents are Korean so I'd speak with them in Korean until I started going to school.,shinder,dim_pl,novel,shindernem
042064,1,0,35,English,I also know how to speak Korean. My parents are Korean so I'd speak with them in Korean until I started going to school.,shinti,dim_pl,novel,shintidan
042064,1,0,35,English,I also know how to speak Korean. My parents are Korean so I'd speak with them in Korean until I started going to school.,berko,dim_pl,familiar,berkosil
042064,1,0,35,English,I also know how to speak Korean. My parents are Korean so I'd speak with them in Korean until I started going to school.,pil,dim_pl,novel,pilshoon
369510,6,1,45,English,n/a,pil,dim_pl,novel,pilnem
369510,6,1,45,English,n/a,bal,dim_pl,familiar,balsil
369510,6,1,45,English,n/a,kora,dim_pl,familiar,korashoon
369510,6,1,45,English,n/a,shinder,dim_pl,novel,shinderne
369510,6,1,45,English,n/a,berko,dim_pl,familiar,berkodan
369510,6,1,45,English,n/a,shinti,dim_pl,novel,shntishoon
075799,2,0,28,English,French - 4 years in High School (not fluent),bal,dim_pl,familiar,balsil
075799,2,0,28,English,French - 4 years in High School (not fluent),pil,dim_pl,novel,pilodan
075799,2,0,28,English,French - 4 years in High School (not fluent),shinti,dim_pl,novel,shintosil
075799,2,0,28,English,French - 4 years in High School (not fluent),berko,dim_pl,familiar,berkodan
075799,2,0,28,English,French - 4 years in High School (not fluent),shinder,dim_pl,novel,shinderban
075799,2,0,28,English,French - 4 years in High School (not fluent),kora,dim_pl,familiar,korasil
709139,5,0,38,English,NA,shinti,dim_pl,novel,shintinem
709139,5,0,38,English,NA,berko,dim_pl,familiar,berkosil
709139,5,0,38,English,NA,pil,dim_pl,novel,piqisil
709139,5,0,38,English,NA,kora,dim_pl,familiar,koraodan
709139,5,0,38,English,NA,shinder,dim_pl,novel,shinderoshoon
709139,5,0,38,English,NA,bal,dim_pl,familiar,balshoon
304169,2,0,27,English,N/A,kora,dim_pl,familiar,korashoon
304169,2,0,27,English,N/A,shinti,dim_pl,novel,shintishoon
304169,2,0,27,English,N/A,berko,dim_pl,familiar,berkoshoon
304169,2,0,27,English,N/A,bal,dim_pl,familiar,balshoon
304169,2,0,27,English,N/A,shinder,dim_pl,novel,shindernem
304169,2,0,27,English,N/A,pil,dim_pl,novel,pilnem
184163,4,0,27,English,N/A,pil,dim_pl,novel,pil
184163,4,0,27,English,N/A,shinder,dim_pl,novel,shinder
184163,4,0,27,English,N/A,kora,dim_pl,familiar,kora
184163,4,0,27,English,N/A,berko,dim_pl,familiar,berko
184163,4,0,27,English,N/A,bal,dim_pl,familiar,bal
184163,4,0,27,English,N/A,shinti,dim_pl,novel,shinti
380540,6,0,40,english,n/a,bal,dim_pl,familiar,bal
380540,6,0,40,english,n/a,pil,dim_pl,novel,pil
380540,6,0,40,english,n/a,shinder,dim_pl,novel,shinder
380540,6,0,40,english,n/a,shinti,dim_pl,novel,shinti
380540,6,0,40,english,n/a,berko,dim_pl,familiar,berko
380540,6,0,40,english,n/a,kora,dim_pl,familiar,kora
818549,3,0,31,English,None,berko,dim_pl,familiar,berko
818549,3,0,31,English,None,shinti,dim_pl,novel,shinti
818549,3,0,31,English,None,shinder,dim_pl,novel,shinder
818549,3,0,31,English,None,kora,dim_pl,familiar,kora
818549,3,0,31,English,None,pil,dim_pl,novel,pil
818549,3,0,31,English,None,bal,dim_pl,familiar,bal
145728,5,0,33,English,N/A,berko,dim_pl,familiar,berkosil
145728,5,0,33,English,N/A,kora,dim_pl,familiar,kora
145728,5,0,33,English,N/A,shinti,dim_pl,novel,shinti
145728,5,0,33,English,N/A,shinder,dim_pl,novel,shinder
145728,5,0,33,English,N/A,pil,dim_pl,novel,pil
145728,5,0,33,English,N/A,bal,dim_pl,familiar,bal
506635,6,0,46,English,NA,shinti,dim_pl,novel,shinti
506635,6,0,46,English,NA,berko,dim_pl,familiar,berkos
506635,6,0,46,English,NA,shinder,dim_pl,novel,shinder
506635,6,0,46,English,NA,pil,dim_pl,novel,pils
506635,6,0,46,English,NA,kora,dim_pl,familiar,kora
506635,6,0,46,English,NA,bal,dim_pl,familiar,balsil
856063,3,0,54,English,"Spanish.  I've learned a little Spanish from my job and from living in south Florida.  I didn't use it much, only when needed. ",shinder,dim_pl,novel,shindershoon
856063,3,0,54,English,"Spanish.  I've learned a little Spanish from my job and from living in south Florida.  I didn't use it much, only when needed. ",pil,dim_pl,novel,pilodan
856063,3,0,54,English,"Spanish.  I've learned a little Spanish from my job and from living in south Florida.  I didn't use it much, only when needed. ",shinti,dim_pl,novel,shintishoon
856063,3,0,54,English,"Spanish.  I've learned a little Spanish from my job and from living in south Florida.  I didn't use it much, only when needed. ",berko,dim_pl,familiar,berkosil
832553,5,1,34,English,None,bal,dim_pl,familiar,baldan
832553,5,1,34,English,None,shinti,dim_pl,novel,shintisil
832553,5,1,34,English,None,berko,dim_pl,familiar,berkosil
832553,5,1,34,English,None,pil,dim_pl,novel,pildan
832553,5,1,34,English,None,shinder,dim_pl,novel,shinderdan
832553,5,1,34,English,None,kora,dim_pl,familiar,koradan
979536,4,1,26,English,"Sign language I learned in HS, have not used it",shinder,dim_pl,novel,shinderdan
979536,4,1,26,English,"Sign language I learned in HS, have not used it",kora,dim_pl,familiar,korasil
979536,4,1,26,English,"Sign language I learned in HS, have not used it",berko,dim_pl,familiar,berkodan
979536,4,1,26,English,"Sign language I learned in HS, have not used it",shinti,dim_pl,novel,shintisil
979536,4,1,26,English,"Sign language I learned in HS, have not used it",pil,dim_pl,novel,pilsil
979536,4,1,26,English,"Sign language I learned in HS, have not used it",bal,dim_pl,familiar,baldon
263009,4,1,43,English,NA,berko,dim_pl,familiar,berkosil
263009,4,1,43,English,NA,kora,dim_pl,familiar,korashoon
263009,4,1,43,English,NA,bal,dim_pl,familiar,balshoon
263009,4,1,43,English,NA,shinder,dim_pl,novel,shindernem
263009,4,1,43,English,NA,shinti,dim_pl,novel,shintishoon
263009,4,1,43,English,NA,pil,dim_pl,novel,pilshoon
290293,3,0,38 ,English,Haitian Creole. I learned it from my mom. I use it several times a day. ,pil,dim_pl,novel,pil
290293,3,0,38 ,English,Haitian Creole. I learned it from my mom. I use it several times a day. ,shinder,dim_pl,novel,shinder
290293,3,0,38 ,English,Haitian Creole. I learned it from my mom. I use it several times a day. ,bal,dim_pl,familiar,bal
290293,3,0,38 ,English,Haitian Creole. I learned it from my mom. I use it several times a day. ,shinti,dim_pl,novel,bal
290293,3,0,38 ,English,Haitian Creole. I learned it from my mom. I use it several times a day. ,kora,dim_pl,familiar,pil
290293,3,0,38 ,English,Haitian Creole. I learned it from my mom. I use it several times a day. ,berko,dim_pl,familiar,berko
695537,1,0,40  ,English,NA,shinder,dim_pl,novel,shinderan
695537,1,0,40  ,English,NA,berko,dim_pl,familiar,berkoem
695537,1,0,40  ,English,NA,bal,dim_pl,familiar,balsil
695537,1,0,40  ,English,NA,kora,dim_pl,familiar,koranem
695537,1,0,40  ,English,NA,pil,dim_pl,novel,pildan
169478,6,0,69 ,English,None,shinder,dim_pl,novel,sindersil
169478,6,0,69 ,English,None,kora,dim_pl,familiar,korashoon
169478,6,0,69 ,English,None,berko,dim_pl,familiar,berkosil
169478,6,0,69 ,English,None,pil,dim_pl,novel,pilshoon
169478,6,0,69 ,English,None,bal,dim_pl,familiar,balshoon
169478,6,0,69 ,English,None,shinti,dim_pl,novel,shintishoon
264215,5,1,46,Enlgish,"(Sorry I hit Enter to quickly and didn't fix my typo on ""English"" in the last question.)",pil,dim_pl,novel,pilshoon
264215,5,1,46,Enlgish,"(Sorry I hit Enter to quickly and didn't fix my typo on ""English"" in the last question.)",shinder,dim_pl,novel,shindershoon
264215,5,1,46,Enlgish,"(Sorry I hit Enter to quickly and didn't fix my typo on ""English"" in the last question.)",berko,dim_pl,familiar,berkoshoon
264215,5,1,46,Enlgish,"(Sorry I hit Enter to quickly and didn't fix my typo on ""English"" in the last question.)",bal,dim_pl,familiar,balshoon
264215,5,1,46,Enlgish,"(Sorry I hit Enter to quickly and didn't fix my typo on ""English"" in the last question.)",kora,dim_pl,familiar,korashoon
264215,5,1,46,Enlgish,"(Sorry I hit Enter to quickly and didn't fix my typo on ""English"" in the last question.)",shinti,dim_pl,novel,shintishoon
288944,2,1,23,English,N/A,pil,dim_pl,novel,pildan
288944,2,1,23,English,N/A,bal,dim_pl,familiar,baldan
288944,2,1,23,English,N/A,kora,dim_pl,familiar,koradan
288944,2,1,23,English,N/A,shinder,dim_pl,novel,shinderdan
288944,2,1,23,English,N/A,shinti,dim_pl,novel,shintidan
288944,2,1,23,English,N/A,berko,dim_pl,familiar,berkodan
314785,5,1,29 ,English,NONE,berko,dim_pl,familiar,berkosil
314785,5,1,29 ,English,NONE,kora,dim_pl,familiar,korasil
314785,5,1,29 ,English,NONE,shinder,dim_pl,novel,shindersil
314785,5,1,29 ,English,NONE,pil,dim_pl,novel,pilsil
314785,5,1,29 ,English,NONE,bal,dim_pl,familiar,balsil
314785,5,1,29 ,English,NONE,shinti,dim_pl,novel,shintisil
429399,3,1,39,English,NA,shinti,dim_pl,novel,shintisil
429399,3,1,39,English,NA,kora,dim_pl,familiar,korasil
429399,3,1,39,English,NA,pil,dim_pl,novel,pildan
429399,3,1,39,English,NA,berko,dim_pl,familiar,berkodan
429399,3,1,39,English,NA,bal,dim_pl,familiar,balsil
429399,3,1,39,English,NA,shinder,dim_pl,novel,shinderdan
587224,1,1,25,English,N/A,shinder,dim_pl,novel,shindernem
587224,1,1,25,English,N/A,shinti,dim_pl,novel,shintinem
587224,1,1,25,English,N/A,berko,dim_pl,familiar,berkonem
587224,1,1,25,English,N/A,bal,dim_pl,familiar,balshoon
587224,1,1,25,English,N/A,pil,dim_pl,novel,pilshoon
587224,1,1,25,English,N/A,kora,dim_pl,familiar,koranem
224199,2,0,30,English,NA,shinder,dim_pl,novel,shinder
224199,2,0,30,English,NA,bal,dim_pl,familiar,bal
224199,2,0,30,English,NA,shinti,dim_pl,novel,shinti
224199,2,0,30,English,NA,berko,dim_pl,familiar,berko
224199,2,0,30,English,NA,kora,dim_pl,familiar,kora
224199,2,0,30,English,NA,pil,dim_pl,novel,pil
895703,2,0,19,English,NA,shinti,dim_pl,novel,shintidal
895703,2,0,19,English,NA,shinder,dim_pl,novel,shinderdan
895703,2,0,19,English,NA,bal,dim_pl,familiar,balshoon
895703,2,0,19,English,NA,berko,dim_pl,familiar,berkodan
895703,2,0,19,English,NA,pil,dim_pl,novel,pilshoon
895703,2,0,19,English,NA,kora,dim_pl,familiar,korashoon
412073,4,1,54,English,NA,berko,dim_pl,familiar,berkodan
412073,4,1,54,English,NA,pil,dim_pl,novel,pildan
412073,4,1,54,English,NA,kora,dim_pl,familiar,koradan
412073,4,1,54,English,NA,shinder,dim_pl,novel,shindershoon
412073,4,1,54,English,NA,bal,dim_pl,familiar,balsil
412073,4,1,54,English,NA,shinti,dim_pl,novel,shintidan
171997,3,1,20,English,none,bal,dim_pl,familiar,balsil
171997,3,1,20,English,none,kora,dim_pl,familiar,koradan
171997,3,1,20,English,none,berko,dim_pl,familiar,berkosil
171997,3,1,20,English,none,shinder,dim_pl,novel,shinderil
171997,3,1,20,English,none,shinti,dim_pl,novel,shintidan
171997,3,1,20,English,none,pil,dim_pl,novel,pildan
563304,6,1,48,English ,NA,bal,dim_pl,familiar,bald
563304,6,1,48,English ,NA,kora,dim_pl,familiar,korasil
563304,6,1,48,English ,NA,shinder,dim_pl,novel,shinderdan
563304,6,1,48,English ,NA,pil,dim_pl,novel,pildan
563304,6,1,48,English ,NA,shinti,dim_pl,novel,shintidan
563304,6,1,48,English ,NA,berko,dim_pl,familiar,berkosil
287658,3,0,20,English,Spanish (minimal) learned in high school and college,kora,dim_pl,familiar,korasil
287658,3,0,20,English,Spanish (minimal) learned in high school and college,bal,dim_pl,familiar,balsil
287658,3,0,20,English,Spanish (minimal) learned in high school and college,shinti,dim_pl,novel,shintisil
287658,3,0,20,English,Spanish (minimal) learned in high school and college,pil,dim_pl,novel,pilsil
287658,3,0,20,English,Spanish (minimal) learned in high school and college,berko,dim_pl,familiar,berkosil
287658,3,0,20,English,Spanish (minimal) learned in high school and college,shinder,dim_pl,novel,shindersil
128549,3,1,31,english,NA,bal,dim_pl,familiar,balsil
128549,3,1,31,english,NA,pil,dim_pl,novel,pildan
128549,3,1,31,english,NA,kora,dim_pl,familiar,koranem
128549,3,1,31,english,NA,shinti,dim_pl,novel,shintisil
128549,3,1,31,english,NA,berko,dim_pl,familiar,berkosil
128549,3,1,31,english,NA,shinder,dim_pl,novel,shindersil
048266,2,0,51,English,(none),shinti,dim_pl,novel,shintidan
048266,2,0,51,English,(none),kora,dim_pl,familiar,korasil
048266,2,0,51,English,(none),shinder,dim_pl,novel,shindersil
048266,2,0,51,English,(none),berko,dim_pl,familiar,berkodan
048266,2,0,51,English,(none),pil,dim_pl,novel,pilnem
048266,2,0,51,English,(none),bal,dim_pl,familiar,balsil
445305,6,1,36,English,"Spanish - learned in high school and university, use it infrequently",shinder,dim_pl,novel,shinders
445305,6,1,36,English,"Spanish - learned in high school and university, use it infrequently",shinti,dim_pl,novel,shintisil
445305,6,1,36,English,"Spanish - learned in high school and university, use it infrequently",berko,dim_pl,familiar,berkonem
445305,6,1,36,English,"Spanish - learned in high school and university, use it infrequently",pil,dim_pl,novel,pilshoon
445305,6,1,36,English,"Spanish - learned in high school and university, use it infrequently",kora,dim_pl,familiar,korasil
445305,6,1,36,English,"Spanish - learned in high school and university, use it infrequently",bal,dim_pl,familiar,balnemsil
368503,5,0,60 ,English ,0,bal,dim_pl,familiar,balnem
368503,5,0,60 ,English ,0,berko,dim_pl,familiar,berko
368503,5,0,60 ,English ,0,shinder,dim_pl,novel,pil
368503,5,0,60 ,English ,0,pil,dim_pl,novel,pilkonem
368503,5,0,60 ,English ,0,shinti,dim_pl,novel,shintonem
368503,5,0,60 ,English ,0,kora,dim_pl,familiar,koranem
720464,6,1,28,English,"Spanish, I spoke spanish sometimes but not as often as english",bal,dim_pl,familiar,baldan
720464,6,1,28,English,"Spanish, I spoke spanish sometimes but not as often as english",pil,dim_pl,novel,pilem
720464,6,1,28,English,"Spanish, I spoke spanish sometimes but not as often as english",shinder,dim_pl,novel,shindernem
720464,6,1,28,English,"Spanish, I spoke spanish sometimes but not as often as english",kora,dim_pl,familiar,koradan
720464,6,1,28,English,"Spanish, I spoke spanish sometimes but not as often as english",shinti,dim_pl,novel,shintidan
720464,6,1,28,English,"Spanish, I spoke spanish sometimes but not as often as english",berko,dim_pl,familiar,berkodan
821413,4,0,27,English,NA,pil,dim_pl,novel,pilanem
821413,4,0,27,English,NA,bal,dim_pl,familiar,balshoon
821413,4,0,27,English,NA,shinder,dim_pl,novel,shindernem
821413,4,0,27,English,NA,kora,dim_pl,familiar,koranem
821413,4,0,27,English,NA,shinti,dim_pl,novel,shintinem
821413,4,0,27,English,NA,berko,dim_pl,familiar,berkoshoon
544785,4,1,48,English,None,kora,dim_pl,familiar,korasil
544785,4,1,48,English,None,berko,dim_pl,familiar,berkosil
544785,4,1,48,English,None,pil,dim_pl,novel,pilsil
544785,4,1,48,English,None,shinti,dim_pl,novel,shintidan
544785,4,1,48,English,None,bal,dim_pl,familiar,balsil
544785,4,1,48,English,None,shinder,dim_pl,novel,shindersil
578643,5,0,37,English,NA,berko,dim_pl,familiar,berkosil
578643,5,0,37,English,NA,shinti,dim_pl,novel,shintisil
578643,5,0,37,English,NA,pil,dim_pl,novel,pilsil
578643,5,0,37,English,NA,kora,dim_pl,familiar,koradan
578643,5,0,37,English,NA,bal,dim_pl,familiar,balsil
578643,5,0,37,English,NA,shinder,dim_pl,novel,shindersil
044945,5,0,37,English,"N/A, learning Spanish not fluent ",pil,dim_pl,novel,pil
044945,5,0,37,English,"N/A, learning Spanish not fluent ",berko,dim_pl,familiar,berkoshoon
044945,5,0,37,English,"N/A, learning Spanish not fluent ",shinder,dim_pl,novel,shinderden
044945,5,0,37,English,"N/A, learning Spanish not fluent ",shinti,dim_pl,novel,shintiden
044945,5,0,37,English,"N/A, learning Spanish not fluent ",kora,dim_pl,familiar,korashoon
044945,5,0,37,English,"N/A, learning Spanish not fluent ",bal,dim_pl,familiar,balsen
419944,6,1,76,English,French in the college,kora,dim_pl,familiar,korasil
419944,6,1,76,English,French in the college,shinti,dim_pl,novel,shintinem
419944,6,1,76,English,French in the college,shinder,dim_pl,novel,shindernim
419944,6,1,76,English,French in the college,pil,dim_pl,novel,pilnem
419944,6,1,76,English,French in the college,bal,dim_pl,familiar,balnem
419944,6,1,76,English,French in the college,berko,dim_pl,familiar,berkonem
243549,5,0,26,English,NA,berko,dim_pl,familiar,berkosil
243549,5,0,26,English,NA,shinder,dim_pl,novel,shindersil
243549,5,0,26,English,NA,shinti,dim_pl,novel,shintisil
243549,5,0,26,English,NA,bal,dim_pl,familiar,balsil
243549,5,0,26,English,NA,kora,dim_pl,familiar,korasil
243549,5,0,26,English,NA,pil,dim_pl,novel,pilnem
852588,3,0,67 ,English,NA,berko,dim_pl,familiar,berko
852588,3,0,67 ,English,NA,pil,dim_pl,novel,pil
852588,3,0,67 ,English,NA,shinder,dim_pl,novel,shinder
852588,3,0,67 ,English,NA,kora,dim_pl,familiar, kora
852588,3,0,67 ,English,NA,shinti,dim_pl,novel,shinta
852588,3,0,67 ,English,NA,bal,dim_pl,familiar,bal
146531,3,1,51,english,n/a,shinti,dim_pl,novel,shintidan
146531,3,1,51,english,n/a,pil,dim_pl,novel,pilshil
146531,3,1,51,english,n/a,bal,dim_pl,familiar,balsil
146531,3,1,51,english,n/a,shinder,dim_pl,novel,shindernem
146531,3,1,51,english,n/a,berko,dim_pl,familiar,berkosil
146531,3,1,51,english,n/a,kora,dim_pl,familiar,koradan
710021,1,0,52,English,English since birth,shinti,dim_pl,novel,shinti
710021,1,0,52,English,English since birth,bal,dim_pl,familiar,bal
710021,1,0,52,English,English since birth,pil,dim_pl,novel,pil
710021,1,0,52,English,English since birth,berko,dim_pl,familiar,berko
710021,1,0,52,English,English since birth,kora,dim_pl,familiar,kora
710021,1,0,52,English,English since birth,shinder,dim_pl,novel,shinder
545966,2,0,38,English,n/a,kora,dim_pl,familiar,koradan
545966,2,0,38,English,n/a,shinti,dim_pl,novel,shinti
545966,2,0,38,English,n/a,berko,dim_pl,familiar,berko
545966,2,0,38,English,n/a,bal,dim_pl,familiar,balsil
545966,2,0,38,English,n/a,pil,dim_pl,novel,pil
545966,2,0,38,English,n/a,shinder,dim_pl,novel,shinder
378417,5,0,  22,english,n/a,shinder,dim_pl,novel,shinder
378417,5,0,  22,english,n/a,pil,dim_pl,novel,pil
378417,5,0,  22,english,n/a,shinti,dim_pl,novel,shinti
378417,5,0,  22,english,n/a,bal,dim_pl,familiar,smieee
378417,5,0,  22,english,n/a,kora,dim_pl,familiar,korashoon
378417,5,0,  22,english,n/a,berko,dim_pl,familiar,berkoshoon
816402,2,0,59,English,None,shinder,dim_pl,novel,shinder
816402,2,0,59,English,None,shinti,dim_pl,novel,shinti
816402,2,0,59,English,None,bal,dim_pl,familiar,bal
816402,2,0,59,English,None,pil,dim_pl,novel,pil
816402,2,0,59,English,None,kora,dim_pl,familiar,kora
816402,2,0,59,English,None,berko,dim_pl,familiar,berko
218288,3,1,24,english,haitian creole,pil,dim_pl,novel,pil
218288,3,1,24,english,haitian creole,shinder,dim_pl,novel,shinder
218288,3,1,24,english,haitian creole,kora,dim_pl,familiar,kora
218288,3,1,24,english,haitian creole,berko,dim_pl,familiar,berko
218288,3,1,24,english,haitian creole,shinti,dim_pl,novel,shinti
218288,3,1,24,english,haitian creole,bal,dim_pl,familiar,bal
093679,3,0,28 ,English,"Spanish- college, used a few times per month",bal,dim_pl,familiar,baldan
093679,3,0,28 ,English,"Spanish- college, used a few times per month",pil,dim_pl,novel,pildan
093679,3,0,28 ,English,"Spanish- college, used a few times per month",shinder,dim_pl,novel,shindan
093679,3,0,28 ,English,"Spanish- college, used a few times per month",shinti,dim_pl,novel,shintidan
093679,3,0,28 ,English,"Spanish- college, used a few times per month",kora,dim_pl,familiar,korashoom
093679,3,0,28 ,English,"Spanish- college, used a few times per month",berko,dim_pl,familiar,berkosil
547169,4,0,35,english,none,kora,dim_pl,familiar,kora
547169,4,0,35,english,none,pil,dim_pl,novel,pil
547169,4,0,35,english,none,shinder,dim_pl,novel,shinder
547169,4,0,35,english,none,berko,dim_pl,familiar,berko
547169,4,0,35,english,none,shinti,dim_pl,novel,shinti
547169,4,0,35,english,none,bal,dim_pl,familiar,bal
265999,2,0,32 ,English,NA,shinder,dim_pl,novel,shinder
265999,2,0,32 ,English,NA,bal,dim_pl,familiar,bal
265999,2,0,32 ,English,NA,shinti,dim_pl,novel,shinti
265999,2,0,32 ,English,NA,kora,dim_pl,familiar,kora
265999,2,0,32 ,English,NA,berko,dim_pl,familiar,berko
265999,2,0,32 ,English,NA,pil,dim_pl,novel,pil
065660,4,0,48,English,NA,shinder,dim_pl,novel,shindan
065660,4,0,48,English,NA,kora,dim_pl,familiar,korasil
065660,4,0,48,English,NA,berko,dim_pl,familiar,berkosil
065660,4,0,48,English,NA,shinti,dim_pl,novel,shintisil
065660,4,0,48,English,NA,bal,dim_pl,familiar,balsil
065660,4,0,48,English,NA,pil,dim_pl,novel,pilsil
699131,1,0,48,English,none,pil,dim_pl,novel,pilnem
699131,1,0,48,English,none,shinti,dim_pl,novel,shint
699131,1,0,48,English,none,kora,dim_pl,familiar,korashoon
699131,1,0,48,English,none,shinder,dim_pl,novel,shindersil
699131,1,0,48,English,none,berko,dim_pl,familiar,beroshoon
699131,1,0,48,English,none,bal,dim_pl,familiar,balshoon
028231,3,0,39,English,I am currently learning Spanish. I use it very infrequently. I first started learning some Spanish words in the seventh grade but have not learned or spoken it consistently since then.,shinder,dim_pl,novel,spin
028231,3,0,39,English,I am currently learning Spanish. I use it very infrequently. I first started learning some Spanish words in the seventh grade but have not learned or spoken it consistently since then.,berko,dim_pl,familiar,berkosil
028231,3,0,39,English,I am currently learning Spanish. I use it very infrequently. I first started learning some Spanish words in the seventh grade but have not learned or spoken it consistently since then.,bal,dim_pl,familiar,baldan
028231,3,0,39,English,I am currently learning Spanish. I use it very infrequently. I first started learning some Spanish words in the seventh grade but have not learned or spoken it consistently since then.,pil,dim_pl,novel,pilil
028231,3,0,39,English,I am currently learning Spanish. I use it very infrequently. I first started learning some Spanish words in the seventh grade but have not learned or spoken it consistently since then.,shinti,dim_pl,novel,pilsil
395989,5,1,50,English,n/a,shinder,dim_pl,novel,shindersil
395989,5,1,50,English,n/a,kora,dim_pl,familiar,korasil
395989,5,1,50,English,n/a,berko,dim_pl,familiar,berkosil
395989,5,1,50,English,n/a,shinti,dim_pl,novel,shintishool
395989,5,1,50,English,n/a,bal,dim_pl,familiar,balsil
395989,5,1,50,English,n/a,pil,dim_pl,novel,pilshoon
665400,1,0,25,english,spanish only in high school and college classes just speak with other classmates.,shinti,dim_pl,novel,shinti
665400,1,0,25,english,spanish only in high school and college classes just speak with other classmates.,pil,dim_pl,novel,pil
665400,1,0,25,english,spanish only in high school and college classes just speak with other classmates.,bal,dim_pl,familiar,bal
665400,1,0,25,english,spanish only in high school and college classes just speak with other classmates.,kora,dim_pl,familiar,kora
665400,1,0,25,english,spanish only in high school and college classes just speak with other classmates.,berko,dim_pl,familiar,berkoj
665400,1,0,25,english,spanish only in high school and college classes just speak with other classmates.,shinder,dim_pl,novel,shinder
571123,3,0,22,english,n/a,berko,dim_pl,familiar,berkosil
571123,3,0,22,english,n/a,bal,dim_pl,familiar,balsil
571123,3,0,22,english,n/a,shinder,dim_pl,novel,shinderdan
571123,3,0,22,english,n/a,pil,dim_pl,novel,pildan
571123,3,0,22,english,n/a,kora,dim_pl,familiar,korasil
571123,3,0,22,english,n/a,shinti,dim_pl,novel,shintisil
437133,6,1,45,English,None,kora,dim_pl,familiar,korasil
437133,6,1,45,English,None,berko,dim_pl,familiar,berkosil
437133,6,1,45,English,None,shinti,dim_pl,novel,shintidan
437133,6,1,45,English,None,bal,dim_pl,familiar,balsil
437133,6,1,45,English,None,shinder,dim_pl,novel,shindersil
437133,6,1,45,English,None,pil,dim_pl,novel,pilsil
043452,6,0,41,english,n/a,kora,dim_pl,familiar,kora
043452,6,0,41,english,n/a,berko,dim_pl,familiar,berkosil
043452,6,0,41,english,n/a,pil,dim_pl,novel,pilnem
043452,6,0,41,english,n/a,shinti,dim_pl,novel,shintisil
043452,6,0,41,english,n/a,bal,dim_pl,familiar,balsil
246197,1,1,23,English,n/a,shinti,dim_pl,novel,shintidan
246197,1,1,23,English,n/a,berko,dim_pl,familiar,berkosil
246197,1,1,23,English,n/a,bal,dim_pl,familiar,baldan
246197,1,1,23,English,n/a,shinder,dim_pl,novel,shindersil
246197,1,1,23,English,n/a,kora,dim_pl,familiar,korashoon
246197,1,1,23,English,n/a,pil,dim_pl,novel,pilsil
312849,5,1,31 ,English,French: learned at school but don't use it very often. Chinese: Learned through the internet and language apps and use or practice it very often. ,berko,dim_pl,familiar,berkosil
312849,5,1,31 ,English,French: learned at school but don't use it very often. Chinese: Learned through the internet and language apps and use or practice it very often. ,pil,dim_pl,novel,pil
312849,5,1,31 ,English,French: learned at school but don't use it very often. Chinese: Learned through the internet and language apps and use or practice it very often. ,bal,dim_pl,familiar,balsil
312849,5,1,31 ,English,French: learned at school but don't use it very often. Chinese: Learned through the internet and language apps and use or practice it very often. ,kora,dim_pl,familiar,korasil
312849,5,1,31 ,English,French: learned at school but don't use it very often. Chinese: Learned through the internet and language apps and use or practice it very often. ,shinder,dim_pl,novel,shinder
